STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FOREST_FIRE,Forest_fire,AREA,Area,CWT,Province,UNIT,Unit measure,FREQ,Frequecny,TIME_PERIOD,OBS_VALUE
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2545,224
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2546,93
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2547,159
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2548,162
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2549,105
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2550,98
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2551,82
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2552,79
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2553,67
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2554,74
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2555,50
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2556,144
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2557,81
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2558,96
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2559,156
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2560,120
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2561,104
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2562,167
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2563,130
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2564,99
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2565,74
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2566,115
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,53,Uttaradit,RAI,Rai,A,Annual,2542,519
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,53,Uttaradit,RAI,Rai,A,Annual,2543,1325
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,53,Uttaradit,RAI,Rai,A,Annual,2544,1499
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,53,Uttaradit,RAI,Rai,A,Annual,2545,1595
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,53,Uttaradit,RAI,Rai,A,Annual,2546,536
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,53,Uttaradit,RAI,Rai,A,Annual,2547,1397
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,53,Uttaradit,RAI,Rai,A,Annual,2548,1542
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,53,Uttaradit,RAI,Rai,A,Annual,2549,2024
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH3,North,53,Uttaradit,RAI,Rai,A,Annual,2550,1024
